D & G SPORTS & WESTERN---MT,"215 4TH STREET SOUTH, GLASGOW, MT  59230",406-228-9363,,48.1934,-106.635
ADVENTURE STUDIOS--NM,"4765 CORRALES RD., CORRALES, NM  87048",505-897-4874,,35.2287,-106.614
ARCHERY SHOPPE---NM,"2910 CARLISLE BLVD. N.E., ALBUQUERQUE, NM  87110",505-878-9768,,35.1154,-106.604
NORTH PRO SPORTS--SK,"c/o COLE INTERNATIONAL, SASKATOON, SK  S7N 1Y8",306-249-1991,,52.1296,-106.595
CHARLIE'S SPORTING GOODS--NM,"8908 MENAUL NE., ALBUQUERQUE, NM  87112",505-275-3006,,35.1089,-106.543
LC/BISHOP SALES---WY,"544 CIRCLE DRIVE, CASPER, WY  82602",307-234-1937,,42.8559,-106.341
ROCKY MOUNTAIN DISCOUNT SPORTS--CA,"1351 CY AVE., CASPER, WY  82604",307-265-6974,,42.8338,-106.339
DAVE'S GUN--NM,"1498 10TH STREET, ALAMOGORDO, NM  88310",575-437-8080,,32.8996,-105.943
RED ROCK SPORTING GOODS---MT,"700 SOUTH HAYNES AVE., MILES CITY, MT  59301",406-232-2716,,46.4013,-105.821
BULLSEYE ARCHERY-LARAMIE,"1560 SNOWY RANGE RD., LARAMIE, WY  82070",307-742-7498,,41.309,-105.616
ROCKY MOUNTAIN DISCOUNT SPORTS--GI,"4706 S. DOUGLAS HWY., GILLETTE, WY  82718",307-686-0221,,44.2504,-105.484
"JAX MERCANTILE , INC--CO","1200 NORTH COLLEGE AVE., BELLVUE, CO  80512",970-488-3250 ,,39.9954,-105.276
GANNETT RIDGE---CO,"264 N. COLLEGE AVE., FORT COLLINS, CO  80524",970-493-4505,,40.5903,-105.077
COLORADO ARCHERY---CO,"12305 N. DUMOUNT WAY, LITTLETON, CO  80125",303-346-9214,,39.5403,-105.04
BEAR CREEK ARCHERY---CO,"3340 S. KNOX COURT, ENGLEWOOD, CO  80110",303-781-8733,,39.6563,-105.032
ARROW DYNAMICS--CO,"2536 MIDPOINT DRIVE, FORT COLLINS, CO  80525",970-484-4900,,40.5624,-105.031
ARCHERY-IN-THE-WILD--CO,"1725 VISTA VIEW DRIVE, LONGMONT, CO  80504",720-652-9100,,40.1602,-105.023
NO LIMITS ARCHERY--CO,"4613 MONACO ST., DENVER, CO  80216",303-270-0185,,39.779,-104.913
ARCHERY INTERACTIVE--CO,"10625 EAST 51ST AVE., DENVER, CO  80239",303-375-9115,,39.7908,-104.865
BULLSEYE ARCHERY-CHEYENNE,"917 E. LINCOLN WAY, CHEYENNE, WY  82001",307-637-7498,,41.1297,-104.823
GARRETSON'S SPORT CENTER--CO,", GREELEY, CO  80634",970-353-8068,,40.3963,-104.787
GENESIS ARCHERY--CO,"2440 PLATTE PLACE, COLORADO SPRINGS, CO  80909",719-633-0328,,38.8369,-104.783
BILL PELLEGRINO'S ARCHERY HUT,"6325 E PLATTE AVE., COLORADO SPRINGS, CO  80915",719-638-0554,,38.8374,-104.71
JOHNSON SPORT & SKI--CO,"315 COURT ST, PUEBLO, CO  81003",719-542-6012,,38.2699,-104.61
FULL RUT ARCHERY--CO,"DBA-FULL RUT ARCHERY, ELIZABETH, CO  80107",303-840-9271,,39.3603,-104.597
HI-LINE SPORTS---MT,"558 1ST AVE WEST, PLENTYWOOD, MT  59254",406-765-1522,,48.7768,-104.567
SCENIC SPORTS---ND,"1201 E. BROADWAY, WILLISTON, ND  58801",701-572-8696,,48.147,-103.604
RED ZONE ARCHERY--SD,"28421 CASCADE RD., HOT SPRINGS, SD  57747",605-890-9065,,43.3555,-103.55
MORAVA ARCHERY---NE,"1434 WEST BELMONT RD, CRAWFORD, NE  69339",308-665-1342,,42.5387,-103.419
BUCKHORN ARCHERY--SD,"10650 SHERIDAN LAKE RD., RAPID CITY, SD  57702",605-341-0341,,43.993,-103.368
BLACK HILLS ARCHERY---SD,"2091 RAND ROAD, RAPID CITY, SD  57702",605-394-9663,,44.1053,-103.266
